No.	ポケモン	HP	攻撃	防御	特攻	特防	素早さ	合計
1	フシギダネ	45	49	49	65	65	45	318
2	フシギソウ	60	62	63	80	80	60	405
3	フシギバナ	80	82	83	100	100	80	525
4	ヒトカゲ	39	52	43	60	50	65	309
5	リザード	58	64	58	80	65	80	405
6	リザードン	78	84	78	109	85	100	534
7	ゼニガメ	44	48	65	50	64	43	314
8	カメール	59	63	80	65	80	58	405
9	カメックス	79	83	100	85	105	78	530
10	キャタピー	45	30	35	20	20	45	195
11	トランセル	50	20	55	25	25	30	205
12	バタフリー	60	45	50	80	80	70	385
13	ビードル	40	35	30	20	20	50	195
14	コクーン	45	25	50	25	25	35	205
15	スピアー	65	80	40	45	80	75	385
16	ポッポ	40	45	40	35	35	56	251
17	ピジョン	63	60	55	50	50	71	349
18	ピジョット	83	80	75	70	70	91	469
19	コラッタ	30	56	35	25	35	72	253
20	ラッタ	55	81	60	50	70	97	413
21	オニスズメ	40	60	30	31	31	70	262
22	オニドリル	65	90	65	61	61	100	442
23	アーボ	35	60	44	40	54	55	288
24	アーボック	60	85	69	65	79	80	438
25	ピカチュウ	35	55	30	50	40	90	300
26	ライチュウ	60	90	55	90	80	100	475
27	サンド	50	75	85	20	30	40	300
28	サンドパン	75	100	110	45	55	65	450
29	ニドラン♀	55	47	52	40	40	41	275
30	ニドリーナ	70	62	67	55	55	56	365
31	ニドクイン	90	82	87	75	85	76	495
32	ニドラン♂	46	57	40	40	40	50	273
33	ニドリーノ	61	72	57	55	55	65	365
34	ニドキング	81	92	77	85	75	85	495
35	ピッピ	70	45	48	60	65	35	323
36	ピクシー	95	70	73	85	90	60	473
37	ロコン	38	41	40	50	65	65	299
38	キュウコン	73	76	75	81	100	100	505
39	プリン	115	45	20	45	25	20	270
40	プクリン	140	70	45	75	50	45	425
41	ズバット	40	45	35	30	40	55	245
42	ゴルバット	75	80	70	65	75	90	455
43	ナゾノクサ	45	50	55	75	65	30	320
44	クサイハナ	60	65	70	85	75	40	395
45	ラフレシア	75	80	85	100	90	50	480
46	パラス	35	70	55	45	55	25	285
47	パラセクト	60	95	80	60	80	30	405
48	コンパン	60	55	50	40	55	45	305
49	モルフォン	70	65	60	90	75	90	450
50	ディグダ	10	55	25	35	45	95	265
51	ダグトリオ	35	80	50	50	70	120	405
52	ニャース	40	45	35	40	40	90	290
53	ペルシアン	65	70	60	65	65	115	440
54	コダック	50	52	48	65	50	55	320
55	ゴルダック	80	82	78	95	80	85	500
